Symbol,Instrument_name,pe_ratio,book_value,dividend_yield
FLUOROCHEM,Gujarat Fluorochemicals Limited,34.128742,523.408,0.0014
TECHM,Tech Mahindra Limited,30.03322,298.925,0.036
BANDHANBNK,Bandhan Bank Limited,14.346861,128.892,0.0066000004
MAZDOCK,Mazagon Dock Shipbuilders Limited,30.579437,268.373,0.011
DIVISLAB,Divi's Laboratories Limited,75.763084,477.573,0.007900001
EICHERMOT,Eicher Motors Limited,29.762886,582.057,0.0095
HCLTECH,HCL Technologies Limited,23.475588,2.92,0.0359
TATACHEM,Tata Chemicals Limited,11.990975,840.118,0.018
DEVYANI,Devyani International Limited,120.75862,8.694,0
TITAN,Titan Company Limited,93.452065,139.822,0.0029
MRF,MRF Limited,27.932981,37327.418,0.0016
INFY,Infosys Limited,23.866888,2.348,0.0248
ONGC,Oil and Natural Gas Corporation Limited,5.6852717,246.185,0.052699998
BHARTIARTL,Bharti Airtel Limited,77.51719,136.394,0.0039
INDUSINDBK,IndusInd Bank Limited,13.624115,752.013,0.0095999995
ABFRL,Aditya Birla Fashion and Retail Limited,0,30.517,0
GODREJPROP,Godrej Properties Limited,78.74895,340.854,0
PETRONET,Petronet LNG Limited,8.682287,109.808,0.0495
KOTAKBANK,Kotak Mahindra Bank Limited,20.283894,607.998,0.00090000004
TATAMOTORS,Tata Motors Limited,17.760574,118.338,0.0028
MARICO,Marico Limited,49.256886,32.605,0.0139999995
AWL,Adani Wilmar Limited,151.22223,61.512,0
SUNTV,Sun TV Network Limited,14.265298,256.106,0.025999999
HDFCBANK,HDFC Bank Limited,17.543425,554.202,0.012200001
MARUTI,Maruti Suzuki India Limited,28.16919,2045.443,0.0085
TATAMTRDVR,Tata Motors Limited,11.990426,118.338,0.0044
M&MFIN,Mahindra & Mahindra Financial Services Limited,0,0,0.0219
MFSL,Max Financial Services Limited,69.455414,108.842,0
SHRIRAMFIN,Shriram Finance Limited,11.468114,1234.335,0.02
BAJAJHLDNG,Bajaj Holdings & Investment Limited,14.727656,4391.578,0.0168
YESBANK,Yes Bank Limited,64.33333,14.495,0
HINDPETRO,Hindustan Petroleum Corporation Limited,2.94461,317.635,0.0537
BALKRISIND,Balkrishna Industries Limited,47.16602,425.408,0.0063
CIPLA,Cipla Limited,28.17056,307.502,0.0069999998
IOC,Indian Oil Corporation Limited,3.9675462,121.223,0.0719
ADANIGREEN,Adani Green Energy Limited,137.04941,37.969,0
PAYTM,One97 Communications Limited,0,224.664,0
DRREDDY,Dr. Reddy's Laboratories Limited,18.832584,1520.164,0.0069999998
BAJAJ-AUTO,Bajaj Auto Limited,25.000206,1036.725,0.0232
POLYCAB,Polycab India Limited,49.02182,479.654,0.0038
IRCTC,Indian Railway Catering & Tourism Corporation Limited,52.928303,35.54,0.0070999996
AUROPHARMA,Aurobindo Pharma Limited,26.111391,477.644,0.0058
LAURUSLABS,Laurus Labs Limited,55.53519,75.252,0.0042
NAUKRI,Info Edge (India) Limited,0,1527.085,0.0044
ABB,ABB India Limited,76.92881,253.325,0.0013
SYNGENE,Syngene International Limited,60.217743,96.855,0.0007
COFORGE,Coforge Limited,51.813564,543.949,0.013300001
SBILIFE,SBI Life Insurance Company Limited,77.498634,139.619,0.0018000001
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,88.557846,74.413,0.0011
VBL,Varun Beverages Limited,70.901695,49.945,0.0016
HDFCAMC,HDFC Asset Management Company Limited,37.592117,282.17,0.0164
ATGL,Adani Total Gas Limited,135.15414,29.419,0.0004
M&M,Mahindra & Mahindra Limited,0,0,0.01
HEROMOTOCO,Hero MotoCorp Limited,23.148434,884.129,0.026600001
FORTIS,Fortis Healthcare Limited,52.93793,100.756,0.0026
HDFCLIFE,HDFC Life Insurance Company Limited,103.043816,63.52,0.0028
KPITTECH,KPIT Technologies Limited,83.31742,68.564,0.0028
TORNTPOWER,Torrent Power Limited,21.006838,246.555,0.0084
WIPRO,Wipro Limited,19.013525,134.032,0.0147
LICI,Life Insurance Corporation of India,11.402108,73.095,0.0045
PATANJALI,Patanjali Foods Limited,56.82474,281.83,0.0044
ICICIGI,ICICI Lombard General Insurance Company Limited,40.8191,242.483,0.0069
ALKEM,Alkem Laboratories Limited,38.75834,823.221,0.0043
ZOMATO,Zomato Limited,0,21.936,0
ADANIENSOL,Adani Energy Solutions Limited,72.49364,106.521,0
TIINDIA,Tube Investments of India Limited,72.986694,221.387,0.0011
MUTHOOTFIN,Muthoot Finance Limited,14.620074,569.892,0.0152
APLAPOLLO,APL Apollo Tubes Limited,61.7242,118.362,0.003
TATACOMM,Tata Communications Limited,35.71106,50.974,0.0127
ASHOKLEY,Ashok Leyland Limited,24.217033,30.209,0.0147
